Nome cliente,Superficie cliente,Cascina,Contoterzista,Contoterzista Cliente,Rivenditori,Rivenditori f,Trattamenti,Trattamenti comunicati (from Trattamenti),Trattamenti eseguiti (from Trattamenti),Data ultimo trattamento progetttato,Stato cliente,Trattamenti copy,Trattamenti copy copy
Prunotto / Alba,21.45,"Prunotto / Alba - Bussia,Prunotto / Alba - Treiso ,Prunotto / Alba - Pertinace,Prunotto / Alba - Borgogno","La Vite d'Oro,La Vite d'Oro,La Vite d'Oro,La Vite d'Oro",La Vite d'Oro,"Agricola Albese,Agricola Albese,Agricola Albese,Agricola Albese",Agricola Albese,"Prunotto / Alba - Tutte - Tutti + Roundup power,Prunotto / Alba - Tutte - Tutti + Folder 80,Prunotto / Alba - Tutte - Tutti + THIOPRON,Prunotto / Alba - Tutte - Tutti + Folder 80,Prunotto / Alba - Tutte - Tutti + THIOPRON,Prunotto / Alba - Tutte - Tutti + THIOPRON,Prunotto / Alba - Tutte - Tutti + PERGADO F,Prunotto / Alba - Tutte - Tutti + PROSPER CS 300,Prunotto / Alba - Tutte - Tutti + PERGADO F,Prunotto / Alba - Tutte - Tutti + THIOPRON,Prunotto / Alba - Tutte - Tutti + Taifun MK cl,Prunotto / Alba - Tutte - Tutti + Stratos Ultra ,Prunotto / Alba - Tutte - Tutti + Zorvec Vinabria,Prunotto / Alba - Tutte - Tutti + Revysion ,Prunotto / Alba - Tutte - Tutti + THIOPRON,Prunotto / Alba - Tutte - Tutti + Enervin Sc,Prunotto / Alba - Tutte - Tutti + Folpan 80 wg,Prunotto / Alba - Tutte - Tutti + SERCADIS,Prunotto / Alba - Tutte - Tutti + THIOPRON,Prunotto / Alba - Tutte - Tutti + EPIK SL,Prunotto / Alba - Tutte - Tutti + ZOLFO MANICA SCORREVOLE,Prunotto / Alba - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Alba - Tutte - Tutti + Revysion ,Prunotto / Alba - Tutte - Tutti + THIOPRON,Prunotto / Alba - Tutte - Tutti + Voliam,Prunotto / Alba - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Alba - Tutte - Tutti + HELIOSOUFRE S ,Prunotto / Alba - Tutte - Tutti + Score 25 sc,Prunotto / Alba - Tutte - Tutti + TREBON UP ,Prunotto / Alba - Tutte - Tutti + Zolfo Scorrevole miniera,Prunotto / Alba - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Alba - Tutte - Tutti + HELIOSOUFRE S ,Prunotto / Alba - Tutte - Tutti + PROSPER CS 300,Prunotto / Alba - Tutte - Tutti + AMYLO-X,Prunotto / Alba - Tutte - Tutti + SERENADE ASO,Prunotto / Alba - Tutte - Tutti + TELDOR PLUS ,Prunotto / Alba - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Alba - Tutte - Tutti + HELIOSOUFRE S ,Prunotto / Alba - Tutte - Tutti + HELIOSOUFRE S ,Prunotto / Alba - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Alba - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Alba - Tutte - Tutti + HELIOSOUFRE S ,Prunotto / Alba - Tutte - Tutti + BioBIt,Prunotto / Alba - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Alba - Tutte - Tutti + Tiolene","1137,1137,1142,1142,1157,1157,1166,1166,1172,1172,1175,1175,1175,1191,1191,1191,1191,1191,1195,1203,1203,1203,1203,1215,1215,1215,1215,1222,1226,1226,1226,1232,1232,1233,1239,1239,1239,1244,1244","1465,1465,1482,1482,1514,1514,1535,1535,1547,1547,1565,1565,1565,1573,1573,1573,1573,1573,1591,1607,1607,1607,1607,1621,1621,1621,1621,1627,1636,1636,1636,1647,1647,1647,1654,1654,1654,1656,1656",,,,
Prunotto / Diano,14.00,"Prunotto / Diano - Diano Cascina Boschi ,Prunotto / Diano - Giordano,Prunotto / Diano - Nebbiolo e Arneis","Terra Viva,Terra Viva,Terra Viva",Terra Viva,"Agricola Albese,Agricola Albese,Agricola Albese",Agricola Albese,"Prunotto / Diano - Tutte - Tutti + AMYLO-X,Prunotto / Diano - Tutte - Tutti + Folder 80,Prunotto / Diano - Tutte - Tutti + THIOPRON,Prunotto / Diano - Tutte - Tutti + Folder 80,Prunotto / Diano - Tutte - Tutti + THIOPRON,Prunotto / Diano - Tutte - Tutti + PERGADO F,Prunotto / Diano - Tutte - Tutti + PROSPER CS 300,Prunotto / Diano - Tutte - Tutti + PERGADO F,Prunotto / Diano - Tutte - Tutti + THIOPRON,Prunotto / Diano - Tutte - Tutti + Taifun MK cl,Prunotto / Diano - Tutte - Tutti + Revolution,Prunotto / Diano - Tutte - Tutti + lecitina,Prunotto / Diano - Tutte - Tutti + Zorvec Vinabria,Prunotto / Diano - Tutte - Tutti + Revysion ,Prunotto / Diano - Tutte - Tutti + THIOPRON,Prunotto / Diano - Tutte - Tutti + Enervin Sc,Prunotto / Diano - Tutte - Tutti + Folpan 80 wg,Prunotto / Diano - Tutte - Tutti + SERCADIS,Prunotto / Diano - Tutte - Tutti + THIOPRON,Prunotto / Diano - Tutte - Tutti + EPIK SL,Prunotto / Diano - Tutte - Tutti + ZOLFO MANICA SCORREVOLE,Prunotto / Diano - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Diano - Tutte - Tutti + Revysion ,Prunotto / Diano - Tutte - Tutti + THIOPRON,Prunotto / Diano - Tutte - Tutti + Voliam,Prunotto / Diano - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Diano - Tutte - Tutti + Score 25 sc,Prunotto / Diano - Tutte - Tutti + THIOPRON,Prunotto / Diano - Tutte - Tutti + TREBON UP ,Prunotto / Diano - Tutte - Tutti + ZOLFO MANICA SCORREVOLE,Prunotto / Diano - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Diano - Tutte - Tutti + PROSPER CS 300,Prunotto / Diano - Tutte - Tutti + THIOPRON,Prunotto / Diano - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Diano - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Diano - Tutte - Tutti + HELIOSOUFRE S ,Prunotto / Diano - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Diano - Tutte - Tutti + HELIOSOUFRE S ,Prunotto / Diano - Tutte - Tutti + Affirm,Prunotto / Diano - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Diano - Tutte - Tutti + Tiolene,Prunotto / Diano - Tutte - Tutti + BioBIt","1137,1137,1144,1144,1157,1157,1166,1166,1169,1169,1169,1175,1175,1175,1191,1191,1191,1191,1191,1195,1198,1198,1198,1198,1216,1216,1216,1216,1222,1227,1227,1227,1228,1233,1233,1238,1238,1238","1465,1465,1496,1496,1514,1514,1538,1538,1546,1546,1546,1564,1564,1564,1572,1572,1572,1572,1572,1591,1600,1600,1600,1600,1619,1619,1619,1619,1627,1638,1638,1638,1639,1647,1647,1650,1650,1650",,,,
Prunotto / Asti,40.41,"Prunotto / Asti - Calliano,Prunotto / Asti - Agliano ","Pusabren,Pusabren",Pusabren,"Agricola Albese,Agricola Albese",Agricola Albese,"Prunotto / Asti - Tutte - Tutti + AMYLO-X,Prunotto / Asti - Tutte - Tutti + Folder 80,Prunotto / Asti - Tutte - Tutti + THIOPRON,Prunotto / Asti - Tutte - Tutti + Folder 80,Prunotto / Asti - Tutte - Tutti + THIOPRON,Prunotto / Asti - Tutte - Tutti + PERGADO F,Prunotto / Asti - Tutte - Tutti + PROSPER CS 300,Prunotto / Asti - Tutte - Tutti + PERGADO F,Prunotto / Asti - Tutte - Tutti + THIOPRON,Prunotto / Asti - Tutte - Tutti + Eranthis,Prunotto / Asti - Tutte - Tutti + Zorvec Vinabria,Prunotto / Asti - Tutte - Tutti + Revysion ,Prunotto / Asti - Tutte - Tutti + THIOPRON,Prunotto / Asti - Tutte - Tutti + Enervin Sc,Prunotto / Asti - Tutte - Tutti + Folpan 80,Prunotto / Asti - Tutte - Tutti + SERCADIS,Prunotto / Asti - Tutte - Tutti + THIOPRON,Prunotto / Asti - Tutte - Tutti + EPIK SL,Prunotto / Asti - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Asti - Tutte - Tutti + Revysion ,Prunotto / Asti - Tutte - Tutti + THIOPRON,Prunotto / Asti - Tutte - Tutti + Voliam,Prunotto / Asti - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Asti - Tutte - Tutti + Score 25 sc,Prunotto / Asti - Tutte - Tutti + THIOPRON,Prunotto / Asti - Tutte - Tutti + TREBON UP ,Prunotto / Asti - Tutte - Tutti + Score 25 sc,Prunotto / Asti - Tutte - Tutti + POLTIGLIA BORD DISPERS X15,Prunotto / Asti - Tutte - Tutti + MICROTHIOL DISPERSS,Prunotto / Asti - Tutte - Tutti + Decis Evo,Prunotto / Asti - Tutte - Tutti + POLTIGLIA BORD DISPERS X15,Prunotto / Asti - Tutte - Tutti + MICROTHIOL DISPERSS","1137,1137,1144,1144,1157,1157,1166,1166,1166,1175,1175,1175,1191,1191,1191,1191,1191,1203,1203,1203,1203,1215,1215,1215,1215,1225,1225,1225,1233,1233","1465,1465,1498,1498,1515,1515,1534,1534,1534,1565,1565,1565,1574,1574,1574,1574,1574,1606,1606,1606,1606,1621,1621,1621,1622,1634,1634,1634,1647,1647",,,,Prunotto / Alba - Tutte - Tutti + AMYLO-X
Prunotto / Pian Romualdo,2.60,Prunotto / Pian Romualdo - Pian Romualdo,Tribulé,Tribulé,Agricola Albese,Agricola Albese,"Prunotto / Pian Romualdo - Tutte - Tutti + AMYLO-X,Prunotto / Pian Romualdo - Tutte - Tutti + Folder 80,Prunotto / Pian Romualdo - Tutte - Tutti + THIOPRON,Prunotto / Pian Romualdo - Tutte - Tutti + Folder 80,Prunotto / Pian Romualdo - Tutte - Tutti + THIOPRON,Prunotto / Pian Romualdo - Tutte - Tutti + Folder 80,Prunotto / Pian Romualdo - Tutte - Tutti + THIOPRON,Prunotto / Pian Romualdo - Tutte - Tutti + PERGADO F,Prunotto / Pian Romualdo - Tutte - Tutti + PROSPER CS 300,Prunotto / Pian Romualdo - Tutte - Tutti + PERGADO F,Prunotto / Pian Romualdo - Tutte - Tutti + THIOPRON,Prunotto / Pian Romualdo - Tutte - Tutti + THIOPRON,Prunotto / Pian Romualdo - Tutte - Tutti + PERGADO F,Prunotto / Pian Romualdo - Tutte - Tutti + PERGADO F,Prunotto / Pian Romualdo - Tutte - Tutti + Revysion ,Prunotto / Pian Romualdo - Tutte - Tutti + THIOPRON,Prunotto / Pian Romualdo - Tutte - Tutti + Enervin Sc,Prunotto / Pian Romualdo - Tutte - Tutti + Folpan 80,Prunotto / Pian Romualdo - Tutte - Tutti + SERCADIS,Prunotto / Pian Romualdo - Tutte - Tutti + EPIK SL,Prunotto / Pian Romualdo - Tutte - Tutti + THIOPRON,Prunotto / Pian Romualdo - Tutte - Tutti + ZOLFO MANICA SCORREVOLE,Prunotto / Pian Romualdo - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Pian Romualdo - Tutte - Tutti + Revysion ,Prunotto / Pian Romualdo - Tutte - Tutti + THIOPRON,Prunotto / Pian Romualdo - Tutte - Tutti + Voliam,Prunotto / Pian Romualdo - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Pian Romualdo - Tutte - Tutti + THIOPRON,Prunotto / Pian Romualdo - Tutte - Tutti + TREBON UP ,Prunotto / Pian Romualdo - Tutte - Tutti + ZOLFO MANICA SCORREVOLE,Prunotto / Pian Romualdo - Tutte - Tutti + HELIOSOUFRE S ,Prunotto / Pian Romualdo - Tutte - Tutti + Decis Evo,Prunotto / Pian Romualdo - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Pian Romualdo - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Pian Romualdo - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Pian Romualdo - Tutte - Tutti + HELIOSOUFRE S ,Prunotto / Pian Romualdo - Tutte - Tutti + BioBIt","1137,1137,1138,1138,1145,1145,1159,1159,1166,1166,1167,1167,1176,1176,1176,1191,1191,1191,1191,1191,1198,1199,1199,1199,1199,1217,1217,1217,1222,1228,1228,1228,1238,1238,1238","1466,1466,1479,1479,1495,1495,1521,1521,1537,1537,1557,1557,1557,1585,1585,1585,1585,1585,1592,1602,1602,1602,1602,1618,1618,1618,1627,1639,1639,1639,1649,1649,1649",,,,
Mauro Sebaste,17.11,"Mauro Sebaste - Astigiano,Mauro Sebaste - Albese,Mauro Sebaste - Roncaglie",,,"Consorzio Agrario del Gallo,Consorzio Agrario del Gallo,Consorzio Agrario del Gallo",Consorzio Agrario del Gallo,Mauro Sebaste - Tutte - Tutti + AMYLO-X,,,,,,
Michele Chiarlo SRL,46.18,"Michele Chiarlo SRL - Castelnuovo Calcea,Michele Chiarlo SRL - Agliano,Michele Chiarlo SRL - Montemareto,Michele Chiarlo SRL - Montaldo Scarampi,Michele Chiarlo SRL - Calamandrana,Michele Chiarlo SRL - Mirenghi Ugo,Michele Chiarlo SRL - Vigneto la Vespa","Pusabren,Pusabren,Pusabren,Pusabren,Pusabren,Pusabren,Pusabren",Pusabren,"Agricola Albese,Agricola Albese,Agricola Albese,Agricola Albese,Agricola Albese,Agricola Albese",Agricola Albese,"Michele Chiarlo SRL - Tutte - Tutti + Folder 80,Michele Chiarlo SRL - Tutte - Tutti + THIOPRON,Michele Chiarlo SRL - Tutte - Tutti + Folder 80,Michele Chiarlo SRL - Tutte - Tutti + THIOPRON,Michele Chiarlo SRL - Tutte - Tutti + PERGADO F,Michele Chiarlo SRL - Tutte - Tutti + PROSPER CS 300,Michele Chiarlo SRL - Tutte - Tutti + PERGADO F,Michele Chiarlo SRL - Tutte - Tutti + THIOPRON,Michele Chiarlo SRL - Tutte - Tutti + Zorvec Vinabria,Michele Chiarlo SRL - Tutte - Tutti + Revysion ,Michele Chiarlo SRL - Tutte - Tutti + THIOPRON,Michele Chiarlo SRL - Tutte - Tutti + Enervin Sc,Michele Chiarlo SRL - Tutte - Tutti + Folpan 80,Michele Chiarlo SRL - Tutte - Tutti + SERCADIS,Michele Chiarlo SRL - Tutte - Tutti + THIOPRON,Michele Chiarlo SRL - Tutte - Tutti + EPIK SL,Michele Chiarlo SRL - Tutte - Tutti + BORDOFLOW NEW,Michele Chiarlo SRL - Tutte - Tutti + Revysion ,Michele Chiarlo SRL - Tutte - Tutti + THIOPRON,Michele Chiarlo SRL - Tutte - Tutti + CORAGEN,Michele Chiarlo SRL - Tutte - Tutti + BORDOFLOW NEW,Michele Chiarlo SRL - Tutte - Tutti + Score 25 sc,Michele Chiarlo SRL - Tutte - Tutti + THIOPRON,Michele Chiarlo SRL - Tutte - Tutti + TREBON UP ,Michele Chiarlo SRL - Tutte - Tutti + Score 25 sc,Michele Chiarlo SRL - Tutte - Tutti + POLTIGLIA BORD DISPERS X15,Michele Chiarlo SRL - Tutte - Tutti + MICROTHIOL DISPERSS,Michele Chiarlo SRL - Tutte - Tutti + Decis Evo,Michele Chiarlo SRL - Tutte - Tutti + POLTIGLIA BORD DISPERS X15,Michele Chiarlo SRL - Tutte - Tutti + MICROTHIOL DISPERSS,Michele Chiarlo SRL - Tutte - Tutti + Affirm,Michele Chiarlo SRL - Tutte - Tutti + BioBIt,Michele Chiarlo SRL - Tutte - Tutti + Primal ,Michele Chiarlo SRL - Tutte - Tutti + BioBIt,Michele Chiarlo SRL - Tutte - Tutti + BORDOFLOW NEW,Michele Chiarlo SRL - Tutte - Tutti + Tiolene","1137,1137,1145,1145,1157,1157,1166,1166,1175,1175,1175,1191,1191,1191,1191,1191,1202,1202,1202,1202,1215,1215,1215,1215,1225,1225,1225,1233,1233,1236,1236,1241,1243,1243,1243","1467,1467,1490,1490,1512,1512,1533,1533,1566,1566,1566,1575,1575,1575,1575,1575,1605,1605,1605,1605,1622,1622,1622,1622,1633,1633,1633,1647,1647,1643,1643,1652,1655,1655,1655",,,,
Azienda Agricola Chiarlo S.S / Alba,10.01,"Azienda Agricola Chiarlo S.S / Alba - Barbaresco,Azienda Agricola Chiarlo S.S / Alba - Cerequio,Azienda Agricola Chiarlo S.S / Alba - Cannubi,Azienda Agricola Chiarlo S.S / Alba - Perno","La Vite d'Oro,La Vite d'Oro,La Vite d'Oro,La Vite d'Oro",La Vite d'Oro,"Agricola Albese,Agricola Albese,Agricola Albese",Agricola Albese,"Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + AMYLO-X,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + Folder 80,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + THIOPRON,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + Folder 80,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + THIOPRON,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + PERGADO F,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + PROSPER CS 300,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + PERGADO F,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + THIOPRON,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + Taifun MK cl,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + Zorvec Vinabria,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + Revysion ,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + THIOPRON,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + Enervin Sc,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + Folpan 80,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + SERCADIS,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + THIOPRON,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + EPIK SL,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + ZOLFO MANICA SCORREVOLE,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + BORDOFLOW NEW,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + Revysion ,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + THIOPRON,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + Voliam,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + BORDOFLOW NEW,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + Score 25 sc,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + HELIOSOUFRE S ,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + TREBON UP ,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + ZOLFO MANICA SCORREVOLE,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + BORDOFLOW NEW,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + PROSPER CS 300,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + HELIOSOUFRE S ,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + BORDOFLOW NEW,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + HELIOSOUFRE S ,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + BORDOFLOW NEW,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + HELIOSOUFRE S ,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + BioBIt,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + BORDOFLOW NEW,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + Tiolene","1137,1137,1142,1142,1150,1150,1166,1166,1172,1175,1175,1175,1191,1191,1191,1191,1191,1195,1203,1203,1203,1203,1215,1215,1215,1215,1222,1226,1226,1226,1232,1232,1240,1240,1240,1244,1244","1469,1469,1482,1482,1491,1491,1533,1533,1563,1566,1566,1566,1576,1576,1576,1576,1576,1591,1607,1607,1607,1607,1621,1621,1621,1621,1627,1636,1636,1636,1647,1647,1654,1654,1654,1656,1656",,,,
Azienda Agricola Chiarlo S.S / Asti,5.21,"Azienda Agricola Chiarlo S.S / Asti - Monbercelli,Azienda Agricola Chiarlo S.S / Asti - Agliano","Pusabren,Pusabren",Pusabren,"Agricola Albese,Agricola Albese",Agricola Albese,"Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + AMYLO-X,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + Folder 80,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + THIOPRON,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + Folder 80,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + THIOPRON,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + Folder 80,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + PERGADO F,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + PROSPER CS 300,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + PERGADO F,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + THIOPRON,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + Zorvec Vinabria,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + Revysion ,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + THIOPRON,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + Enervin Sc,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + Folpan 80,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + SERCADIS,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + THIOPRON,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + EPIK SL,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + BORDOFLOW NEW,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + Revysion ,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + THIOPRON,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + CORAGEN,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + BORDOFLOW NEW,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + Score 25 sc,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + THIOPRON,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + TREBON UP ,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + POLTIGLIA BORD DISPERS X15,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + MICROTHIOL DISPERSS,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + Decis Evo,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + POLTIGLIA BORD DISPERS X15,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + MICROTHIOL DISPERSS,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + Affirm,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + Primal ","1137,1137,1145,1145,1151,1157,1157,1166,1166,1175,1175,1175,1191,1191,1191,1191,1191,1202,1202,1202,1202,1215,1215,1215,1215,1225,1225,1225,1233,1233,1236,1241","1468,1468,1502,1503,1513,1513,1533,1533,1566,1566,1566,1576,1576,1576,1576,1576,1605,1605,1605,1605,1622,1622,1622,1622,1633,1633,1633,1647,1647,1643,1652",,,,
Bussia Soprana di Casiraghi Silvano,12.38,"Bussia Soprana di Casiraghi Silvano - Bussia,Bussia Soprana di Casiraghi Silvano - Mosconi,Bussia Soprana di Casiraghi Silvano - Mosconi Nuovo impianto","Tribulé,Tribulé,Tribulé",Tribulé,"Aimasso Oscar,Aimasso Oscar,Aimasso Oscar",Aimasso Oscar,"Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + AMYLO-X,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Folder 80,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + THIOPRON,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Folder 80,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + THIOPRON,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Folder 80,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + PERGADO F,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + PROSPER CS 300,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + PERGADO F,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + PERGADO F,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + THIOPRON,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + KAIZ' N,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Zorvec Vinabria,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Revysion ,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + THIOPRON,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Enervin Sc,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Folpan 80,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + SERCADIS,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + THIOPRON,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + EPIK SL,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Basic,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + THIOPRON,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Basic,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Revysion ,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + CORAGEN,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + THIOPRON,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + ZOLFO MANICA SCORREVOLE,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Basic,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + THIOPRON,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + KARATHANE STAR,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + TREBON UP ,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Basic,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + HELIOSOUFRE S ,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + PROSPER CS 300,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Basic,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + KARATHANE STAR,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + HELIOSOUFRE S ,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Basic,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + HELIOSOUFRE S ,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Lepinox,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Lepinox,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Basic,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Basic,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + HELIOSOUFRE S ,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Lepinox","1137,1137,1148,1148,1158,1158,1167,1167,1167,1176,1176,1176,1191,1191,1191,1191,1191,1204,1204,1204,1204,1214,1215,1215,1215,1215,1227,1227,1227,1234,1234,1234,1242,1242,1242","1470,1470,1500,1500,1518,1518,1539,1539,1539,1556,1556,1556,1583,1583,1583,1583,1583,1608,1608,1608,1608,1626,1620,1620,1620,1620,1638,1638,1638,1648,1648,1648,1654,1654,1654",,,,
