Nome prodotto,Principio attivo,Avversità,N.R.,Unità di misura,Trattamenti,Magazzino,Created
HELIOSOUFRE S ,"Zolfo puro g 51,70 (=700 g/l)",Oidio,11102,l,"Paolo Scavino di Enrico Scavino - Tutte - Tutti + HELIOSOUFRE S ,Paolo Scavino di Enrico Scavino - Tutte - Tutti + HELIOSOUFRE S ,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + HELIOSOUFRE S ,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + HELIOSOUFRE S ,Prunotto / Alba - Tutte - Tutti + HELIOSOUFRE S ,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + HELIOSOUFRE S ,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + HELIOSOUFRE S ,Ca' Rome' - Tutte - Tutti + HELIOSOUFRE S ,Soc. Coop. Pusabren - Tutte - Tutti + HELIOSOUFRE S ,Paolo Scavino di Enrico Scavino - Tutte - Tutti + HELIOSOUFRE S ,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + HELIOSOUFRE S ,Cascina Alberta - Tutte - Tutti + HELIOSOUFRE S ,Mauro Sebaste - Albese - Tutti + HELIOSOUFRE S ,Mauro Sebaste - Roncaglie - Tutti + HELIOSOUFRE S ,Mauro Sebaste - Astigiano - Tutti + HELIOSOUFRE S ,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + HELIOSOUFRE S ,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + HELIOSOUFRE S ,Prunotto / Alba - Tutte - Tutti + HELIOSOUFRE S ,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + HELIOSOUFRE S ,Ca' Rome' - Tutte - Tutti + HELIOSOUFRE S ,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + HELIOSOUFRE S ,Carlin De Paolo - Tutte - Tutti + HELIOSOUFRE S ,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + HELIOSOUFRE S ,Prunotto / Pian Romualdo - Tutte - Tutti + HELIOSOUFRE S ,Cascina Alberta - Tutte - Tutti + HELIOSOUFRE S ,Mauro Sebaste - Albese - Tutti + HELIOSOUFRE S ,Mauro Sebaste - Roncaglie - Tutti + HELIOSOUFRE S ,Mauro Sebaste - Astigiano - Tutti + HELIOSOUFRE S ,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + HELIOSOUFRE S ,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + HELIOSOUFRE S ,Prunotto / Alba - Tutte - Tutti + HELIOSOUFRE S ,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + HELIOSOUFRE S ,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + HELIOSOUFRE S ,Ca' Rome' - Tutte - Tutti + HELIOSOUFRE S ,Prunotto / Alba - Tutte - Tutti + HELIOSOUFRE S ,Antinori Soc. Agricola ARL - Tutte - Tutti + HELIOSOUFRE S ,Prunotto / Diano - Tutte - Tutti + HELIOSOUFRE S ,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + HELIOSOUFRE S ,Cascina Alberta - Tutte - Tutti + HELIOSOUFRE S ,Prunotto / Pian Romualdo - Tutte - Tutti + HELIOSOUFRE S ,Prunotto / Diano - Tutte - Tutti + HELIOSOUFRE S ,Antinori Soc. Agricola ARL - Tutte - Tutti + HELIOSOUFRE S ,Prunotto / Alba - Tutte - Tutti + HELIOSOUFRE S ,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + HELIOSOUFRE S ,Ca' Rome' - Tutte - Tutti + HELIOSOUFRE S ,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + HELIOSOUFRE S ,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + HELIOSOUFRE S ,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + HELIOSOUFRE S ,Carlin De Paolo - Tutte - Tutti + HELIOSOUFRE S ,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + HELIOSOUFRE S ,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + HELIOSOUFRE S ",,22/3/2020
KARATHANE STAR,"Meptyldinocap puro 35,71% (350 g/L)",Oidio,12886,l,"Mauro Sebaste - Albese - Tutti + KARATHANE STAR,Mauro Sebaste - Roncaglie - Tutti + KARATHANE STAR,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + KARATHANE STAR,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + KARATHANE STAR",,22/3/2020
MICROTHIOL DISPERSS,Zolfo puro 80%,Oidio,1583,Kg,"Michele Chiarlo SRL - Tutte - Tutti + MICROTHIOL DISPERSS,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + MICROTHIOL DISPERSS,Soc. Coop. Pusabren - Tutte - Tutti + MICROTHIOL DISPERSS,Prunotto / Asti - Tutte - Tutti + MICROTHIOL DISPERSS,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + MICROTHIOL DISPERSS,Prunotto / Asti - Tutte - Tutti + MICROTHIOL DISPERSS,Michele Chiarlo SRL - Tutte - Tutti + MICROTHIOL DISPERSS,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + MICROTHIOL DISPERSS,Soc. Coop. Pusabren - Tutte - Tutti + MICROTHIOL DISPERSS",,22/3/2020
POLITHIOL,"Olio minerale paraffinico (N. CAS 97862-82-3) g 41,3 (= 400 g/l)",Oidio,11760,l,,,22/3/2020
PROSPER CS 300,Spiroxamina pura (=300 g/l),Oidio,12883,l,"Mauro Sebaste - Albese - Tutti + PROSPER CS 300,Mauro Sebaste - Roncaglie - Tutti + PROSPER CS 300,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + PROSPER CS 300,Soc. Coop. Pusabren - Tutte - Tutti + PROSPER CS 300,Mauro Sebaste - Astigiano - Tutti + PROSPER CS 300,Michele Chiarlo SRL - Tutte - Tutti + PROSPER CS 300,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + PROSPER CS 300,Prunotto / Alba - Tutte - Tutti + PROSPER CS 300,Prunotto / Diano - Tutte - Tutti + PROSPER CS 300,Prunotto / Asti - Tutte - Tutti + PROSPER CS 300,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + PROSPER CS 300,Ca' Rome' - Tutte - Tutti + PROSPER CS 300,Antinori Soc. Agricola ARL - Tutte - Tutti + PROSPER CS 300,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + PROSPER CS 300,Carlin De Paolo - Tutte - Tutti + PROSPER CS 300,Prunotto / Pian Romualdo - Tutte - Tutti + PROSPER CS 300,La Cardinala - Merlot e Cabernet - Tutti + PROSPER CS 300,La Cardinala - Chardonnay - Tutti + PROSPER CS 300,La Cardinala - Syrah - Tutti + PROSPER CS 300,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + PROSPER CS 300,Paolo Scavino di Enrico Scavino - Tutte - Tutti + PROSPER CS 300,Mauro Sebaste - Albese - Tutti + PROSPER CS 300,Mauro Sebaste - Roncaglie - Tutti + PROSPER CS 300,La Cardinala - Merlot e Cabernet - Tutti + PROSPER CS 300,La Cardinala - Chardonnay - Tutti + PROSPER CS 300,La Cardinala - Syrah - Tutti + PROSPER CS 300,Mauro Sebaste - Albese - Tutti + PROSPER CS 300,Mauro Sebaste - Roncaglie - Tutti + PROSPER CS 300,Mauro Sebaste - Astigiano - Tutti + PROSPER CS 300,Prunotto / Alba - Tutte - Tutti + PROSPER CS 300,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + PROSPER CS 300,Ca' Rome' - Tutte - Tutti + PROSPER CS 300,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + PROSPER CS 300,Prunotto / Diano - Tutte - Tutti + PROSPER CS 300,Antinori Soc. Agricola ARL - Tutte - Tutti + PROSPER CS 300,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + PROSPER CS 300",,22/3/2020
PROSPER CS 500 ,Spiroxamina pura (=500 g/l),Oidio,15115,l,,,22/3/2020
REBEL TOP,"ciflufenamid 5,10% (= 51,30 g/l)",Oidio,15448,l,,,22/3/2020
SERCADIS,"Fluxapyroxad g 26,5 (300 g/l)",Oidio,16945,N.,"La Cardinala - Merlot e Cabernet - Tutti + SERCADIS,La Cardinala - Chardonnay - Tutti + SERCADIS,La Cardinala - Syrah - Tutti + SERCADIS,Mauro Sebaste - Astigiano - Tutti + SERCADIS,Mauro Sebaste - Albese - Tutti + SERCADIS,Mauro Sebaste - Astigiano - Tutti + SERCADIS,Mauro Sebaste - Roncaglie - Tutti + SERCADIS,Prunotto / Alba - Tutte - Tutti + SERCADIS,Prunotto / Diano - Tutte - Tutti + SERCADIS,Prunotto / Asti - Tutte - Tutti + SERCADIS,Michele Chiarlo SRL - Tutte - Tutti + SERCADIS,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + SERCADIS,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + SERCADIS,Ca' Rome' - Tutte - Tutti + SERCADIS,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + SERCADIS,Antinori Soc. Agricola ARL - Tutte - Tutti + SERCADIS,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + SERCADIS,Soc. Coop. Pusabren - Tutte - Tutti + SERCADIS,Carlin De Paolo - Tutte - Tutti + SERCADIS,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + SERCADIS,Rubbiolo Matteo - Tutte - Tutti + SERCADIS,Prunotto / Pian Romualdo - Tutte - Tutti + SERCADIS,Rubbiolo Matteo - Tutte - Tutti + SERCADIS",,22/3/2020
SONATA,Bacillus pumilus,Oidio,17350,l,,,22/3/2020
TIOWETTING,Zolfo puro 80%,Oidio,9724,Kg,,,22/3/2020
