Nome prodotto,Principio attivo,Avversità,N.R.,Unità di misura,Trattamenti,Magazzino,Created
TEBUZOL DISPERS,"Tebuconazolo puro 4,5%+zolfo 70%",Oidio,12696,l,,,22/3/2020
THIOPRON,"Zolfo puro (esente da selenio) g 57,3 (825 g/L)",Oidio,13,l,"L'Alegra / Nocciole - Tutte - Tutti + THIOPRON,Bello Mario / Nocciole - Tutte - Tutti + THIOPRON,Mauro Sebaste - Albese - Tutti + THIOPRON,Mauro Sebaste - Roncaglie - Tutti + THIOPRON,Mauro Sebaste - Astigiano - Tutti + THIOPRON,Prunotto / Alba - Tutte - Tutti + THIOPRON,Prunotto / Diano - Tutte - Tutti + THIOPRON,Prunotto / Asti - Tutte - Tutti + THIOPRON,Prunotto / Pian Romualdo - Tutte - Tutti + THIOPRON,Michele Chiarlo SRL - Tutte - Tutti + THIOPRON,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + THIOPRON,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + THIOPRON,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + THIOPRON,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + THIOPRON,Ca' Rome' - Tutte - Tutti + THIOPRON,Soc. Coop. Pusabren - Tutte - Tutti + THIOPRON,Antinori Soc. Agricola ARL - Tutte - Tutti + THIOPRON,La Cardinala - Tutte - Tutti + THIOPRON,Corino - Tutte - Tutti + THIOPRON,Bello Mario / Vite - Tutte - Tutti + THIOPRON,Bruno Gianluca - Tutte - Tutti + THIOPRON,Carlin De Paolo - Tutte - Tutti + THIOPRON,Tenute del Vino - Vigneti 360 - Tutte - Tutti + THIOPRON,Tenute del Vino - La Vite d'Oro - Tutte - Tutti + THIOPRON,Cascina Alberta - Tutte - Tutti + THIOPRON,Tenute del Vino - La Vite d'Oro - Tutte - Tutti + THIOPRON,Tenute del Vino - Vigneti 360 - Tutte - Tutti + THIOPRON,Prunotto / Pian Romualdo - Tutte - Tutti + THIOPRON,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + THIOPRON,Rubbiolo Matteo - Tutte - Tutti + THIOPRON,L'Alegra / Vite - Tutte - Tutti + THIOPRON,Paolo Scavino di Enrico Scavino - Tutte - Tutti + THIOPRON,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + THIOPRON,Prunotto / Alba - Tutte - Tutti + THIOPRON,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + THIOPRON,Soc. Coop. Pusabren - Tutte - Tutti + THIOPRON,Mauro Sebaste - Astigiano - Tutti + THIOPRON,Michele Chiarlo SRL - Tutte - Tutti + THIOPRON,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + THIOPRON,Prunotto / Alba - Tutte - Tutti + THIOPRON,Prunotto / Diano - Tutte - Tutti + THIOPRON,Prunotto / Pian Romualdo - Tutte - Tutti + THIOPRON,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + THIOPRON,Ca' Rome' - Tutte - Tutti + THIOPRON,Prunotto / Asti - Tutte - Tutti + THIOPRON,Antinori Soc. Agricola ARL - Tutte - Tutti + THIOPRON,Carlin De Paolo - Tutte - Tutti + THIOPRON,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + THIOPRON,La Cardinala - Tutte - Tutti + THIOPRON,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + THIOPRON,Guido Berta - Tutte - Tutti + THIOPRON,Guido Berta - Tutte - Tutti + THIOPRON,Broccardo SS - Tutte - Tutti + THIOPRON,Cascina Alberta - Tutte - Tutti + THIOPRON,Rubbiolo Matteo - Tutte - Tutti + THIOPRON,L'Alegra / Vite - Tutte - Tutti + THIOPRON,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + THIOPRON,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + THIOPRON,Tenute del Vino - Vigneti 360 - Ponti - Tutti + THIOPRON,Tenute del Vino - Vigneti 360 - Ponti - Tutti + THIOPRON,Tenute del Vino - Vigneti 360 - Tutte - Tutti + THIOPRON,Mauro Sebaste - Albese - Tutti + THIOPRON,Mauro Sebaste - Roncaglie - Tutti + THIOPRON,Paolo Scavino di Enrico Scavino - Tutte - Tutti + THIOPRON,Broccardo SS - Tutte - Tutti + THIOPRON,Cascina Alberta - Tutte - Tutti + THIOPRON,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + THIOPRON,La Cardinala - Pinot nero - Tutti + THIOPRON,L'Alegra / Vite - Tutte - Tutti + THIOPRON,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + THIOPRON,Tenute del Vino - Vigneti 360 - Tutte - Tutti + THIOPRON,Soc. Coop. Pusabren - Tutte - Tutti + THIOPRON,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + THIOPRON,Cascina Alberta - Tutte - Tutti + THIOPRON,L'Alegra / Vite - Tutte - Tutti + THIOPRON,Tenute del Vino - Vigneti 360 - Ponti - Tutti + THIOPRON,Prunotto / Asti - Tutte - Tutti + THIOPRON,Michele Chiarlo SRL - Tutte - Tutti + THIOPRON,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + THIOPRON,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + THIOPRON,Prunotto / Alba - Tutte - Tutti + THIOPRON,Prunotto / Diano - Tutte - Tutti + THIOPRON,Prunotto / Pian Romualdo - Tutte - Tutti + THIOPRON,Ca' Rome' - Tutte - Tutti + THIOPRON,Antinori Soc. Agricola ARL - Tutte - Tutti + THIOPRON,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + THIOPRON,Paolo Scavino di Enrico Scavino - Tutte - Tutti + THIOPRON,Carlin De Paolo - Tutte - Tutti + THIOPRON,Mauro Sebaste - Astigiano - Tutti + THIOPRON,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + THIOPRON,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + THIOPRON,Prunotto / Pian Romualdo - Tutte - Tutti + THIOPRON,Rubbiolo Matteo - Tutte - Tutti + THIOPRON,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + THIOPRON,La Cardinala - Pinot nero - Tutti + THIOPRON,Cascina Alberta - Tutte - Tutti + THIOPRON,Cascina Alberta - Tutte - Tutti + THIOPRON,Mauro Sebaste - Albese - Tutti + THIOPRON,Mauro Sebaste - Roncaglie - Tutti + THIOPRON,Mauro Sebaste - Astigiano - Tutti + THIOPRON,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + THIOPRON,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + THIOPRON,L'Alegra / Vite - Tutte - Tutti + THIOPRON,Tenute del Vino - Vigneti 360 - Ponti - Tutti + THIOPRON,Paolo Scavino di Enrico Scavino - Tutte - Tutti + THIOPRON,La Cardinala - Pinot nero - Tutti + THIOPRON,La Cardinala - Merlot e Cabernet - Tutti + THIOPRON,La Cardinala - Chardonnay - Tutti + THIOPRON,La Cardinala - Syrah - Tutti + THIOPRON,Prunotto / Alba - Tutte - Tutti + THIOPRON,Prunotto / Diano - Tutte - Tutti + THIOPRON,Prunotto / Asti - Tutte - Tutti + THIOPRON,Michele Chiarlo SRL - Tutte - Tutti + THIOPRON,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + THIOPRON,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + THIOPRON,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + THIOPRON,Ca' Rome' - Tutte - Tutti + THIOPRON,Soc. Coop. Pusabren - Tutte - Tutti + THIOPRON,Antinori Soc. Agricola ARL - Tutte - Tutti + THIOPRON,Carlin De Paolo - Tutte - Tutti + THIOPRON,Prunotto / Pian Romualdo - Tutte - Tutti + THIOPRON,Rubbiolo Matteo - Tutte - Tutti + THIOPRON,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + THIOPRON,Carlin De Paolo - Tutte - Tutti + THIOPRON,Cascina Alberta - Tutte - Tutti + THIOPRON,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + THIOPRON,L'Alegra / Vite - Tutte - Tutti + THIOPRON,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + THIOPRON,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + THIOPRON,Tenute del Vino - Vigneti 360 - Tutte - Tutti + THIOPRON,Cascina Alberta - Tutte - Tutti + THIOPRON,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + THIOPRON,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + THIOPRON,L'Alegra / Vite - Tutte - Tutti + THIOPRON,La Cardinala - Pinot nero - Tutti + THIOPRON,La Cardinala - Merlot e Cabernet - Tutti + THIOPRON,La Cardinala - Chardonnay - Tutti + THIOPRON,La Cardinala - Syrah - Tutti + THIOPRON,Mauro Sebaste - Astigiano - Tutti + THIOPRON,Mauro Sebaste - Albese - Tutti + THIOPRON,Mauro Sebaste - Astigiano - Tutti + THIOPRON,Mauro Sebaste - Roncaglie - Tutti + THIOPRON,Paolo Scavino di Enrico Scavino - Tutte - Tutti + THIOPRON,Tenute del Vino - Vigneti 360 - Ponti - Tutti + THIOPRON,Prunotto / Alba - Tutte - Tutti + THIOPRON,Prunotto / Diano - Tutte - Tutti + THIOPRON,Prunotto / Asti - Tutte - Tutti + THIOPRON,Michele Chiarlo SRL - Tutte - Tutti + THIOPRON,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + THIOPRON,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + THIOPRON,Ca' Rome' - Tutte - Tutti + THIOPRON,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + THIOPRON,Antinori Soc. Agricola ARL - Tutte - Tutti + THIOPRON,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + THIOPRON,Soc. Coop. Pusabren - Tutte - Tutti + THIOPRON,Carlin De Paolo - Tutte - Tutti + THIOPRON,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + THIOPRON,Rubbiolo Matteo - Tutte - Tutti + THIOPRON,Prunotto / Pian Romualdo - Tutte - Tutti + THIOPRON,L'Alegra / Vite - Tutte - Tutti + THIOPRON,L'Alegra / Vite - Tutte - Tutti + THIOPRON,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + THIOPRON,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + THIOPRON,Tenute del Vino - Vigneti 360 - Ponti - Tutti + THIOPRON,Mauro Sebaste - Albese - Tutti + THIOPRON,Mauro Sebaste - Roncaglie - Tutti + THIOPRON,Mauro Sebaste - Astigiano - Tutti + THIOPRON,Prunotto / Diano - Tutte - Tutti + THIOPRON,Antinori Soc. Agricola ARL - Tutte - Tutti + THIOPRON,Cascina Alberta - Tutte - Tutti + THIOPRON,Prunotto / Pian Romualdo - Tutte - Tutti + THIOPRON,Carlin De Paolo - Tutte - Tutti + THIOPRON,Soc. Coop. Pusabren - Tutte - Tutti + THIOPRON,Michele Chiarlo SRL - Tutte - Tutti + THIOPRON,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + THIOPRON,Prunotto / Asti - Tutte - Tutti + THIOPRON,Prunotto / Alba - Tutte - Tutti + THIOPRON,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + THIOPRON,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + THIOPRON,Ca' Rome' - Tutte - Tutti + THIOPRON,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + THIOPRON,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + THIOPRON,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + THIOPRON,Tenute del Vino - Vigneti 360 - Ponti - Tutti + THIOPRON,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + THIOPRON,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + THIOPRON,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + THIOPRON,L'Alegra / Vite - Tutte - Tutti + THIOPRON,Rubbiolo Matteo - Tutte - Tutti + THIOPRON,Cascina Alberta - Tutte - Tutti + THIOPRON,Mauro Sebaste - Albese - Tutti + THIOPRON,Mauro Sebaste - Roncaglie - Tutti + THIOPRON,Mauro Sebaste - Astigiano - Tutti + THIOPRON,L'Alegra / Vite - Tutte - Tutti + THIOPRON,Carlin De Paolo - Tutte - Tutti + THIOPRON,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + THIOPRON,Prunotto / Asti - Tutte - Tutti + THIOPRON,Michele Chiarlo SRL - Tutte - Tutti + THIOPRON,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + THIOPRON,Prunotto / Diano - Tutte - Tutti + THIOPRON,Antinori Soc. Agricola ARL - Tutte - Tutti + THIOPRON,Prunotto / Pian Romualdo - Tutte - Tutti + THIOPRON,Rubbiolo Matteo - Tutte - Tutti + THIOPRON,Rubbiolo Matteo - Tutte - Tutti + THIOPRON,L'Alegra / Vite - Tutte - Tutti + THIOPRON,Tenute del Vino - Vigneti 360 - Ponti - Tutti + THIOPRON,Prunotto / Diano - Tutte - Tutti + THIOPRON,Antinori Soc. Agricola ARL - Tutte - Tutti + THIOPRON,Rubbiolo Matteo - Tutte - Tutti + THIOPRON,L'Alegra / Vite - Tutte - Tutti + THIOPRON,Tenute del Vino - Vigneti 360 - Ponti - Tutti + THIOPRON,L'Alegra / Vite - Tutte - Tutti + THIOPRON,Rubbiolo Matteo - Tutte - Tutti + THIOPRON,Carlin De Paolo - Tutte - Tutti + THIOPRON,Rubbiolo Matteo - Tutte - Tutti + THIOPRON",,22/3/2020
TOPAS COMBI,"Penconazolo 1,25% +Zolfo 33,30%",Oidio,16101,l,,,22/3/2020
VIVANDO,"Metrafenone puro g 42,37 (500 g/l)",Oidio,13698,l,,,22/3/2020
VELIERO 500 EC,Spiroxamina 500 g/l,Oidio,16460,l,,,22/3/2020
ZOLFO MANICA SCORREVOLE,Zolfo puro 95%,Oidio,13205,Kg,"Cascina Alberta - Tutte - Tutti + ZOLFO MANICA SCORREVOLE,Prunotto / Alba - Tutte - Tutti + ZOLFO MANICA SCORREVOLE,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + ZOLFO MANICA SCORREVOLE,Ca' Rome' - Tutte - Tutti + ZOLFO MANICA SCORREVOLE,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + ZOLFO MANICA SCORREVOLE,Prunotto / Diano - Tutte - Tutti + ZOLFO MANICA SCORREVOLE,Antinori Soc. Agricola ARL - Tutte - Tutti + ZOLFO MANICA SCORREVOLE,Prunotto / Pian Romualdo - Tutte - Tutti + ZOLFO MANICA SCORREVOLE,Tenute del Vino - Vigneti 360 - Ponti - Tutti + ZOLFO MANICA SCORREVOLE,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + ZOLFO MANICA SCORREVOLE,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + ZOLFO MANICA SCORREVOLE,Cascina Alberta - Tutte - Tutti + ZOLFO MANICA SCORREVOLE,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + ZOLFO MANICA SCORREVOLE,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + ZOLFO MANICA SCORREVOLE,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + ZOLFO MANICA SCORREVOLE,Ca' Rome' - Tutte - Tutti + ZOLFO MANICA SCORREVOLE,Prunotto / Diano - Tutte - Tutti + ZOLFO MANICA SCORREVOLE,Prunotto / Pian Romualdo - Tutte - Tutti + ZOLFO MANICA SCORREVOLE,Antinori Soc. Agricola ARL - Tutte - Tutti + ZOLFO MANICA SCORREVOLE",,22/3/2020
ZOLFO ZOLFINDUS.SCORR,Zolfo puro 95%,Oidio,13211,Kg,,,22/3/2020
AMPEXIO,Mandipropamide g 25 + Zoxamide g 24,Peronospora,16248,l,,,22/3/2020
BORDOFLOW NEW,Rame metallo g.10 (=124 g/l),Peronospora,14102,l,"Mauro Sebaste - Albese - Tutti + BORDOFLOW NEW,Mauro Sebaste - Roncaglie - Tutti + BORDOFLOW NEW,Mauro Sebaste - Astigiano - Tutti + BORDOFLOW NEW,Paolo Scavino di Enrico Scavino - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Diano - Tutte - Tutti + BORDOFLOW NEW,Antinori Soc. Agricola ARL - Tutte - Tutti + BORDOFLOW NEW,Cascina Alberta - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Pian Romualdo - Tutte - Tutti + BORDOFLOW NEW,Carlin De Paolo - Tutte - Tutti + BORDOFLOW NEW,Soc. Coop. Pusabren - Tutte - Tutti + BORDOFLOW NEW,Michele Chiarlo SRL - Tutte - Tutti + BORDOFLOW NEW,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Asti - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Alba - Tutte - Tutti + BORDOFLOW NEW,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + BORDOFLOW NEW,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + BORDOFLOW NEW,Ca' Rome' - Tutte - Tutti + BORDOFLOW NEW,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + BORDOFLOW NEW,Tenute del Vino - Vigneti 360 - Ponti - Tutti + BORDOFLOW NEW,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + BORDOFLOW NEW,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + BORDOFLOW NEW,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + BORDOFLOW NEW,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + BORDOFLOW NEW,Paolo Scavino di Enrico Scavino - Tutte - Tutti + BORDOFLOW NEW,Mauro Sebaste - Albese - Tutti + BORDOFLOW NEW,Mauro Sebaste - Roncaglie - Tutti + BORDOFLOW NEW,Mauro Sebaste - Astigiano - Tutti + BORDOFLOW NEW,Carlin De Paolo - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Alba - Tutte - Tutti + BORDOFLOW NEW,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + BORDOFLOW NEW,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + BORDOFLOW NEW,Ca' Rome' - Tutte - Tutti + BORDOFLOW NEW,Soc. Coop. Pusabren - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Asti - Tutte - Tutti + BORDOFLOW NEW,Michele Chiarlo SRL - Tutte - Tutti + BORDOFLOW NEW,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Diano - Tutte - Tutti + BORDOFLOW NEW,Antinori Soc. Agricola ARL - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Pian Romualdo - Tutte - Tutti + BORDOFLOW NEW,Rubbiolo Matteo - Tutte - Tutti + BORDOFLOW NEW,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + BORDOFLOW NEW,Cascina Alberta - Tutte - Tutti + BORDOFLOW NEW,Mauro Sebaste - Albese - Tutti + BORDOFLOW NEW,Mauro Sebaste - Roncaglie - Tutti + BORDOFLOW NEW,Mauro Sebaste - Astigiano - Tutti + BORDOFLOW NEW,Tenute del Vino - Vigneti 360 - Ponti - Tutti + BORDOFLOW NEW,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + BORDOFLOW NEW,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + BORDOFLOW NEW,Prunotto / Alba - Tutte - Tutti + BORDOFLOW NEW,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + BORDOFLOW NEW,Ca' Rome' - Tutte - Tutti + BORDOFLOW NEW,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + BORDOFLOW NEW,Carlin De Paolo - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Diano - Tutte - Tutti + BORDOFLOW NEW,Antinori Soc. Agricola ARL - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Diano - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Pian Romualdo - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Pian Romualdo - Tutte - Tutti + BORDOFLOW NEW,Mauro Sebaste - Albese - Tutti + BORDOFLOW NEW,Mauro Sebaste - Roncaglie - Tutti + BORDOFLOW NEW,Mauro Sebaste - Astigiano - Tutti + BORDOFLOW NEW,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + BORDOFLOW NEW,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + BORDOFLOW NEW,Prunotto / Alba - Tutte - Tutti + BORDOFLOW NEW,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + BORDOFLOW NEW,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + BORDOFLOW NEW,Ca' Rome' - Tutte - Tutti + BORDOFLOW NEW,Tenute del Vino - Vigneti 360 - Ponti - Tutti + BORDOFLOW NEW,Tenute del Vino - Vigneti 360 - Ponti - Tutti + BORDOFLOW NEW,Prunotto / Diano - Tutte - Tutti + BORDOFLOW NEW,Antinori Soc. Agricola ARL - Tutte - Tutti + BORDOFLOW NEW,Cascina Alberta - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Pian Romualdo - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Diano - Tutte - Tutti + BORDOFLOW NEW,Antinori Soc. Agricola ARL - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Alba - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Alba - Tutte - Tutti + BORDOFLOW NEW,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + BORDOFLOW NEW,Ca' Rome' - Tutte - Tutti + BORDOFLOW NEW,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + BORDOFLOW NEW,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + BORDOFLOW NEW,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + BORDOFLOW NEW,Carlin De Paolo - Tutte - Tutti + BORDOFLOW NEW,Carlin De Paolo - Tutte - Tutti + BORDOFLOW NEW,Carlin De Paolo - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Asti - Agliano  - Tutti + BORDOFLOW NEW,Michele Chiarlo SRL - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Alba - Tutte - Tutti + BORDOFLOW NEW,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + BORDOFLOW NEW,Ca' Rome' - Tutte - Tutti + BORDOFLOW NEW,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + BORDOFLOW NEW,Prunotto / Diano - Tutte - Tutti + BORDOFLOW NEW,Antinori Soc. Agricola ARL - Tutte - Tutti + BORDOFLOW NEW,Cascina Alberta - Tutte - Tutti + BORDOFLOW NEW",,22/3/2020
COSAVET DF EDGE,Zolfo puro 80%,Peronospora,15149,Kg,,,22/3/2020
CUPRAVIT BIOADVANCED WG30,Rame Solfato Tribasico 30%,Peronospora,16842,Kg,,,22/3/2020
CRITTOVIT,Zolfo puro 80%,Peronospora,11497,Kg,,,22/3/2020
ENERVIN PRO (TWIN PACK X 2 HA) ,Ametocradina 200 g/l + Fosfonato di Potassio  755 g/l,Peronospora,15008-15264,N.,,,22/3/2020
ENERVIN PRO 1 HA ,Ametocradina 200 g/l + Fosfonato di Potassio  755 g/l,Peronospora,15008-15264,N.,,,22/3/2020
ENERVIN TOP ,Ametocradina 12% + Metiram 44%,Peronospora,14812,Kg,,,22/3/2020
FLOWBRIX NC ,"Ossicloruro tetraramico g 25,42 (=380 g/l)",Peronospora,12504,l,,,22/3/2020
FOLPEC,Folpet 80%,Peronospora,13485,Kg,,,22/3/2020
FORUM MZ,"Dimetomorf puro g 9 Mancozeb, puro g 60",Peronospora,10329,Kg,,,22/3/2020
FORUM R,"Dimetomorf, puro g 6 Rame metallo (da ossicloruro) g 40",Peronospora,8731,Kg,,,22/3/2020
HELIOCUIVRE S,"Rame metallo (come idrossidodi Cu) g 19.94 (= 266,4 g/l)",Peronospora,13521,l,L'Alegra / Vite - Tutte - Tutti + HELIOCUIVRE S,,22/3/2020
HELIOCUIVRE,"Rame metallo (come idrossido di Cu) g 26,2 (=400 g/l)",Peronospora,12170,l,"Tenute del Vino - Vigneti 360 - Tutte - Tutti + HELIOCUIVRE,Tenute del Vino - La Vite d'Oro - Tutte - Tutti + HELIOCUIVRE,Cascina Alberta - Tutte - Tutti + HELIOCUIVRE,Tenute del Vino - La Vite d'Oro - Tutte - Tutti + HELIOCUIVRE,Tenute del Vino - Vigneti 360 - Tutte - Tutti + HELIOCUIVRE,L'Alegra / Vite - Tutte - Tutti + HELIOCUIVRE,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + HELIOCUIVRE,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + HELIOCUIVRE,L'Alegra / Vite - Tutte - Tutti + HELIOCUIVRE,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + HELIOCUIVRE,Tenute del Vino - Vigneti 360 - Ponti - Tutti + HELIOCUIVRE,Tenute del Vino - Vigneti 360 - Ponti - Tutti + HELIOCUIVRE,Cascina Alberta - Tutte - Tutti + HELIOCUIVRE,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + HELIOCUIVRE,L'Alegra / Vite - Tutte - Tutti + HELIOCUIVRE,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + HELIOCUIVRE,Tenute del Vino - Vigneti 360 - Tutte - Tutti + HELIOCUIVRE,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + HELIOCUIVRE,Cascina Alberta - Tutte - Tutti + HELIOCUIVRE,Cascina Alberta - Tutte - Tutti + HELIOCUIVRE,Tenute del Vino - Vigneti 360 - Ponti - Tutti + HELIOCUIVRE,Tenute del Vino - Vigneti 360 - Ponti - Tutti + HELIOCUIVRE,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + HELIOCUIVRE,Cascina Alberta - Tutte - Tutti + HELIOCUIVRE,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + HELIOCUIVRE,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + HELIOCUIVRE,L'Alegra / Vite - Tutte - Tutti + HELIOCUIVRE,Tenute del Vino - Vigneti 360 - Ponti - Tutti + HELIOCUIVRE,Cascina Alberta - Tutte - Tutti + HELIOCUIVRE,L'Alegra / Vite - Tutte - Tutti + HELIOCUIVRE,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + HELIOCUIVRE,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + HELIOCUIVRE,Tenute del Vino - Vigneti 360 - Tutte - Tutti + HELIOCUIVRE,Cascina Alberta - Tutte - Tutti + HELIOCUIVRE,Tenute del Vino - Vigneti 360 - Ponti - Tutti + HELIOCUIVRE,Tenute del Vino - Vigneti 360 - Ponti - Tutti + HELIOCUIVRE,Cascina Alberta - Tutte - Tutti + HELIOCUIVRE,Cascina Alberta - Tutte - Tutti + HELIOCUIVRE",,22/3/2020
IDROX 20 WG ,Idrossido di rame 20%,Peronospora,16205,Kg,,,22/3/2020
KOCIDE OPTI   ,Idrossido di rame 30%,Peronospora,14686,Kg,,,22/3/2020
MILDICUT,"Cyazofamid g 2,03 (=25 g/l) - Fosfonato di disodio g 20,32 (=25 g/l)",Peronospora,12453,l,,,22/3/2020
OSSICLOR 30,Ossicloruro al 30%,Peronospora,9612,Kg,,,22/3/2020
PASTA SIAPA,"Ossicloruro tetraramico g 25,42 (=377,5 g/l)",Peronospora,12780,l,,,22/3/2020
PENCOZEB DG,Mancozeb 75%,Peronospora,4189,Kg,,,22/3/2020
